CAMID,file_url,hybrid_stat,split,zenodo_link,md5,subspecies,parent_subspecies_1,parent_subspecies_2,filename
,,non-hybrid,train,,,7,,,CAM008892.jpg
,,non-hybrid,train,,,7,,,CAM000455.jpg
,,non-hybrid,train,,,7,,,CAM008890.jpg
,,non-hybrid,train,,,7,,,CAM000446.jpg
,,non-hybrid,train,,,7,,,CAM008981.jpg
,,non-hybrid,train,,,7,,,CAM008960.jpg
,,non-hybrid,train,,,7,,,CAM008187.jpg
,,non-hybrid,train,,,7,,,CAM008962.jpg
,,non-hybrid,train,,,7,,,CAM009512.jpg
,,non-hybrid,train,,,7,,,CAM009350.jpg
,,non-hybrid,train,,,7,,,CAM002893.jpg
,,non-hybrid,train,,,7,,,CAM009364.jpg
,,non-hybrid,train,,,7,,,CAM009571.jpg
,,non-hybrid,train,,,7,,,CAM009009.jpg
,,non-hybrid,train,,,7,,,CAM008182.jpg
,,non-hybrid,train,,,7,,,CAM008189.jpg
,,non-hybrid,train,,,7,,,CAM000471.jpg
,,non-hybrid,train,,,7,,,CAM009367.jpg
,,non-hybrid,train,,,7,,,CAM008963.jpg
,,non-hybrid,train,,,7,,,CAM002910.jpg
,,non-hybrid,train,,,7,,,CAM009567.jpg
,,non-hybrid,train,,,7,,,CAM009566.jpg
,,non-hybrid,train,,,7,,,CAM009505.jpg
,,non-hybrid,train,,,7,,,CAM008891.jpg
,,non-hybrid,train,,,7,,,CAM008982.jpg
,,non-hybrid,train,,,7,,,CAM008214.jpg
,,non-hybrid,train,,,7,,,CAM008984.jpg
,,non-hybrid,train,,,7,,,CAM009331.jpg
,,non-hybrid,train,,,7,,,CAM009515.jpg
,,non-hybrid,train,,,7,,,CAM002902.jpg
,,non-hybrid,train,,,7,,,CAM008181.jpg
,,non-hybrid,train,,,7,,,CAM000468.jpg
,,non-hybrid,train,,,7,,,CAM008980.jpg
,,non-hybrid,train,,,7,,,CAM000442.jpg
,,non-hybrid,train,,,7,,,CAM009555.jpg
,,non-hybrid,train,,,7,,,CAM008889.jpg
,,non-hybrid,train,,,7,,,CAM008190.jpg
,,non-hybrid,train,,,7,,,CAM000456.jpg
,,non-hybrid,train,,,7,,,CAM000470.jpg
,,non-hybrid,train,,,7,,,CAM009362.jpg
,,non-hybrid,train,,,7,,,CAM008173.jpg
,,non-hybrid,train,,,7,,,CAM000539.jpg
,,non-hybrid,train,,,7,,,CAM009577.jpg
,,non-hybrid,train,,,7,,,CAM008177.jpg
,,non-hybrid,train,,,7,,,CAM008210.jpg
,,non-hybrid,train,,,7,,,CAM008192.jpg
,,non-hybrid,train,,,7,,,CAM009514.jpg
,,non-hybrid,train,,,7,,,CAM008893.jpg
,,non-hybrid,train,,,7,,,CAM009522.jpg
,,non-hybrid,train,,,7,,,CAM009372.jpg
,,non-hybrid,train,,,7,,,CAM008195.jpg
,,non-hybrid,train,,,7,,,CAM008193.jpg
,,non-hybrid,train,,,7,,,CAM008215.jpg
,,non-hybrid,train,,,7,,,CAM002911.jpg
,,non-hybrid,train,,,7,,,CAM008191.jpg
,,non-hybrid,train,,,7,,,CAM000472.jpg
,,non-hybrid,train,,,7,,,CAM002912.jpg
,,non-hybrid,train,,,7,,,CAM009564.jpg
,,non-hybrid,train,,,7,,,CAM008185.jpg
,,non-hybrid,train,,,7,,,CAM008175.jpg
,,non-hybrid,train,,,7,,,CAM009368.jpg
,,non-hybrid,train,,,7,,,CAM000454.jpg
,,non-hybrid,train,,,7,,,CAM000257.jpg
,,non-hybrid,train,,,7,,,CAM008178.jpg
,,non-hybrid,train,,,7,,,CAM000440.jpg
,,non-hybrid,train,,,7,,,CAM009550.jpg
,,non-hybrid,train,,,7,,,CAM008184.jpg
,,non-hybrid,train,,,7,,,CAM008194.jpg
,,non-hybrid,train,,,7,,,CAM008188.jpg
,,non-hybrid,train,,,7,,,CAM009361.jpg
,,non-hybrid,train,,,7,,,CAM009360.jpg
,,non-hybrid,train,,,7,,,CAM000256.jpg
,,non-hybrid,train,,,7,,,CAM000469.jpg
,,non-hybrid,train,,,7,,,CAM009536.jpg
,,non-hybrid,train,,,7,,,CAM008176.jpg
,,non-hybrid,train,,,7,,,CAM002906.jpg
,,non-hybrid,train,,,7,,,CAM008183.jpg
,,non-hybrid,train,,,7,,,CAM009517.jpg
,,non-hybrid,train,,,7,,,CAM008186.jpg
,,non-hybrid,train,,,7,,,CAM009501.jpg
,,non-hybrid,train,,,7,,,CAM008180.jpg
,,non-hybrid,train,,,7,,,CAM008894.jpg
,,non-hybrid,train,,,7,,,CAM009545.jpg
,,non-hybrid,train,,,7,,,CAM009010.jpg
,,non-hybrid,train,,,7,,,CAM009333.jpg
,,non-hybrid,train,,,7,,,CAM009363.jpg
,,non-hybrid,train,,,7,,,CAM009572.jpg
,,non-hybrid,train,,,7,,,CAM009542.jpg
,,non-hybrid,train,,,7,,,CAM009371.jpg
,,non-hybrid,train,,,7,,,CAM008964.jpg
,,non-hybrid,train,,,7,,,CAM009548.jpg
,,non-hybrid,train,,,7,,,CAM008958.jpg
,,non-hybrid,train,,,7,,,CAM009576.jpg
,,non-hybrid,train,,,7,,,CAM008213.jpg
,,non-hybrid,train,,,7,,,CAM000457.jpg
,,non-hybrid,train,,,7,,,CAM008179.jpg
,,non-hybrid,train,,,7,,,CAM009365.jpg
,,non-hybrid,train,,,7,,,CAM008174.jpg
,,hybrid,train,,,8_9,,,CAM016823.jpg
,,hybrid,train,,,8_9,,,CAM016664.jpg
,,hybrid,train,,,8_9,,,CAM016666.jpg
,,hybrid,train,,,8_9,,,CAM016745.jpg
,,hybrid,train,,,8_9,,,CAM016760.jpg
,,hybrid,train,,,8_9,,,CAM016842.jpg
,,hybrid,train,,,8_9,,,CAM016749.jpg
,,hybrid,train,,,8_9,,,CAM016755.jpg
,,hybrid,train,,,8_9,,,CAM016787.jpg
,,hybrid,train,,,8_9,,,CAM016668.jpg
,,hybrid,train,,,8_9,,,CAM016051.jpg
,,hybrid,train,,,8_9,,,CAM016761.jpg
,,hybrid,train,,,8_9,,,CAM016824.jpg
,,hybrid,train,,,8_9,,,CAM016756.jpg
,,hybrid,train,,,8_9,,,CAM018252.jpg
,,hybrid,train,,,8_9,,,CAM016771.jpg
,,hybrid,train,,,8_9,,,CAM016841.jpg
,,hybrid,train,,,8_9,,,CAM016786.jpg
,,hybrid,train,,,8_9,,,CAM016833.jpg
,,hybrid,train,,,8_9,,,CAM016783.jpg
,,hybrid,train,,,8_9,,,CAM016793.jpg
,,hybrid,train,,,8_9,,,CAM016764.jpg
,,hybrid,train,,,8_9,,,CAM016816.jpg
,,hybrid,train,,,8_9,,,CAM016987.jpg
,,hybrid,train,,,8_9,,,CAM016759.jpg
,,hybrid,train,,,8_9,,,CAM016979.jpg
,,hybrid,train,,,8_9,,,CAM016667.jpg
,,hybrid,train,,,8_9,,,CAM016850.jpg
,,hybrid,train,,,8_9,,,CAM016794.jpg
,,hybrid,train,,,8_9,,,CAM016767.jpg
,,hybrid,train,,,8_9,,,CAM016855.jpg
,,hybrid,train,,,8_9,,,CAM017011.jpg
,,hybrid,train,,,8_9,,,CAM016053.jpg
,,hybrid,train,,,8_9,,,CAM016791.jpg
,,hybrid,train,,,8_9,,,CAM016827.jpg
,,hybrid,train,,,8_9,,,CAM016740.jpg
,,hybrid,train,,,8_9,,,CAM016790.jpg
,,hybrid,train,,,8_9,,,CAM016752.jpg
,,hybrid,train,,,8_9,,,CAM016838.jpg
,,hybrid,train,,,8_9,,,CAM018304.jpg
,,hybrid,train,,,8_9,,,CAM016813.jpg
,,hybrid,train,,,8_9,,,CAM018327.jpg
,,hybrid,train,,,8_9,,,CAM016784.jpg
,,hybrid,train,,,8_9,,,CAM016832.jpg
,,hybrid,train,,,8_9,,,CAM016049.jpg
,,hybrid,train,,,8_9,,,CAM016795.jpg
,,hybrid,train,,,8_9,,,CAM016741.jpg
,,hybrid,train,,,8_9,,,CAM016788.jpg
,,hybrid,train,,,8_9,,,CAM016986.jpg
,,hybrid,train,,,8_9,,,CAM017820.jpg
,,hybrid,train,,,8_9,,,CAM016789.jpg
,,hybrid,train,,,8_9,,,CAM017984.jpg
,,hybrid,train,,,8_9,,,CAM016670.jpg
,,hybrid,train,,,8_9,,,CAM016845.jpg
,,hybrid,train,,,8_9,,,CAM016669.jpg
,,hybrid,train,,,8_9,,,CAM016852.jpg
,,hybrid,train,,,8_9,,,CAM016052.jpg
,,hybrid,train,,,8_9,,,CAM017982.jpg
,,hybrid,train,,,8_9,,,CAM016837.jpg
,,hybrid,train,,,8_9,,,CAM018270.jpg
,,hybrid,train,,,8_9,,,CAM016750.jpg
,,hybrid,train,,,8_9,,,CAM016777.jpg
,,hybrid,train,,,8_9,,,CAM016995.jpg
,,hybrid,train,,,8_9,,,CAM016981.jpg
,,hybrid,train,,,8_9,,,CAM016848.jpg
,,hybrid,train,,,8_9,,,CAM016840.jpg
,,hybrid,train,,,8_9,,,CAM016839.jpg
,,hybrid,train,,,8_9,,,CAM016671.jpg
,,hybrid,train,,,8_9,,,CAM016996.jpg
,,hybrid,train,,,8_9,,,CAM017693.jpg
,,hybrid,train,,,8_9,,,CAM017821.jpg
,,hybrid,train,,,8_9,,,CAM016757.jpg
,,hybrid,train,,,8_9,,,CAM017983.jpg
,,hybrid,train,,,8_9,,,CAM016985.jpg
,,hybrid,train,,,8_9,,,CAM016768.jpg
,,hybrid,train,,,8_9,,,CAM017010.jpg
,,hybrid,train,,,8_9,,,CAM016980.jpg
,,hybrid,train,,,8_9,,,CAM016780.jpg
,,hybrid,train,,,8_9,,,CAM018524.jpg
,,hybrid,train,,,8_9,,,CAM016054.jpg
,,hybrid,train,,,8_9,,,CAM016796.jpg
,,hybrid,train,,,8_9,,,CAM016853.jpg
,,hybrid,train,,,8_9,,,CAM017020.jpg
,,hybrid,train,,,8_9,,,CAM016763.jpg
,,hybrid,train,,,8_9,,,CAM016744.jpg
,,hybrid,train,,,8_9,,,CAM016762.jpg
,,hybrid,train,,,8_9,,,CAM016758.jpg
,,hybrid,train,,,8_9,,,CAM016736.jpg
,,hybrid,train,,,8_9,,,CAM016682.jpg
,,hybrid,train,,,8_9,,,CAM016665.jpg
,,hybrid,train,,,8_9,,,CAM016681.jpg
,,non-hybrid,train,,,8,,,CAM041072.jpg
,,non-hybrid,train,,,8,,,19N1169.jpg
,,non-hybrid,train,,,8,,,CAM016587.jpg
,,non-hybrid,train,,,8,,,CAM041493.jpg
,,non-hybrid,train,,,8,,,19N0066.jpg
,,non-hybrid,train,,,8,,,CAM041070.jpg
,,non-hybrid,train,,,8,,,19N1698.jpg
,,non-hybrid,train,,,8,,,19N2145.jpg
,,non-hybrid,train,,,8,,,19N0900.jpg
,,non-hybrid,train,,,8,,,CS004295.jpg
,,non-hybrid,train,,,8,,,19N0476.jpg
,,non-hybrid,train,,,8,,,19N0862.jpg
,,non-hybrid,train,,,8,,,19N2245.jpg
,,non-hybrid,train,,,8,,,19N2218.jpg
,,non-hybrid,train,,,8,,,19N2274.jpg
,,non-hybrid,train,,,8,,,CS004065.jpg
,,non-hybrid,train,,,8,,,CAM017278.jpg
,,non-hybrid,train,,,8,,,19N1234.jpg
,,non-hybrid,train,,,8,,,19N1094.jpg
,,non-hybrid,train,,,8,,,19N0065.jpg
,,non-hybrid,train,,,8,,,19N1123.jpg
,,non-hybrid,train,,,8,,,CAM041154.jpg
,,non-hybrid,train,,,8,,,CAM017389.jpg
,,non-hybrid,train,,,8,,,19N2000.jpg
,,non-hybrid,train,,,8,,,CAM040165.jpg
,,non-hybrid,train,,,8,,,19N1376.jpg
,,non-hybrid,train,,,8,,,19N2258.jpg
,,non-hybrid,train,,,8,,,19N0090.jpg
,,non-hybrid,train,,,8,,,19N0440.jpg
,,non-hybrid,train,,,8,,,19N1899.jpg
,,non-hybrid,train,,,8,,,19N1823.jpg
,,non-hybrid,train,,,8,,,19N0079.jpg
,,non-hybrid,train,,,8,,,19N1431.jpg
,,non-hybrid,train,,,8,,,CAM041268.jpg
,,non-hybrid,train,,,8,,,CAM041232.jpg
,,non-hybrid,train,,,8,,,CAM041257.jpg
,,non-hybrid,train,,,8,,,19N2180.jpg
,,non-hybrid,train,,,8,,,CAM041260.jpg
,,non-hybrid,train,,,8,,,19N2213.jpg
,,non-hybrid,train,,,8,,,19N0464.jpg
,,non-hybrid,train,,,8,,,19N0168.jpg
,,non-hybrid,train,,,8,,,19N2232.jpg
,,non-hybrid,train,,,8,,,CAM041199.jpg
,,non-hybrid,train,,,8,,,19N0046.jpg
,,non-hybrid,train,,,8,,,19N0039.jpg
,,non-hybrid,train,,,8,,,CAM017383.jpg
,,non-hybrid,train,,,8,,,CAM041025.jpg
,,non-hybrid,train,,,8,,,19N1668.jpg
,,non-hybrid,train,,,8,,,CAM041116.jpg
,,non-hybrid,train,,,8,,,CAM041155.jpg
,,non-hybrid,train,,,8,,,CAM041126.jpg
,,non-hybrid,train,,,8,,,CAM016467.jpg
,,non-hybrid,train,,,8,,,CAM040140.jpg
,,non-hybrid,train,,,8,,,19N0151.jpg
,,non-hybrid,train,,,8,,,19N0191.jpg
,,non-hybrid,train,,,8,,,19N2067.jpg
,,non-hybrid,train,,,8,,,CAM040160.jpg
,,non-hybrid,train,,,8,,,19N0685.jpg
,,non-hybrid,train,,,8,,,19N1181.jpg
,,non-hybrid,train,,,8,,,CAM041230.jpg
,,non-hybrid,train,,,8,,,SHM000340.jpg
,,non-hybrid,train,,,8,,,19N0019.jpg
,,non-hybrid,train,,,8,,,19N1951.jpg
,,non-hybrid,train,,,8,,,19N2159.jpg
,,non-hybrid,train,,,8,,,CAM017007.jpg
,,non-hybrid,train,,,8,,,CAM120589.jpg
,,non-hybrid,train,,,8,,,19N0273.jpg
,,non-hybrid,train,,,8,,,CAM040721.jpg
,,non-hybrid,train,,,8,,,CAM017043.jpg
,,non-hybrid,train,,,8,,,CAM040228.jpg
,,non-hybrid,train,,,8,,,19N2211.jpg
,,non-hybrid,train,,,8,,,19N1950.jpg
,,non-hybrid,train,,,8,,,19N0007.jpg
,,non-hybrid,train,,,8,,,19N1915.jpg
,,non-hybrid,train,,,8,,,CAM040241.jpg
,,non-hybrid,train,,,8,,,CAM120473.jpg
,,non-hybrid,train,,,8,,,CAM041172.jpg
,,non-hybrid,train,,,8,,,CAM040185.jpg
,,non-hybrid,train,,,8,,,CAM040705.jpg
,,non-hybrid,train,,,8,,,19N1122.jpg
,,non-hybrid,train,,,8,,,19N2212.jpg
,,non-hybrid,train,,,8,,,19N1895.jpg
,,non-hybrid,train,,,8,,,19N1726.jpg
,,non-hybrid,train,,,8,,,19N1645.jpg
,,non-hybrid,train,,,8,,,19N2239.jpg
,,non-hybrid,train,,,8,,,18N0602.jpg
,,non-hybrid,train,,,8,,,19N0434.jpg
,,non-hybrid,train,,,8,,,CAM040141.jpg
,,non-hybrid,train,,,8,,,19N0297.jpg
,,non-hybrid,train,,,8,,,CS004047.jpg
,,non-hybrid,train,,,8,,,CAM040168.jpg
,,non-hybrid,train,,,8,,,19N1921.jpg
,,non-hybrid,train,,,8,,,CAM040995.jpg
,,non-hybrid,train,,,8,,,19N2003.jpg
,,non-hybrid,train,,,8,,,19N0958.jpg
,,non-hybrid,train,,,8,,,19N1667.jpg
,,non-hybrid,train,,,8,,,19N1897.jpg
,,non-hybrid,train,,,8,,,19N0025.jpg
,,non-hybrid,train,,,8,,,19N0219.jpg
,,non-hybrid,train,,,8,,,CAM040119.jpg
,,non-hybrid,train,,,8,,,19N1999.jpg
,,non-hybrid,train,,,8,,,19N0702.jpg
,,non-hybrid,train,,,8,,,19N1985.jpg
,,non-hybrid,train,,,8,,,19N1725.jpg
,,non-hybrid,train,,,8,,,CAM017124.jpg
,,non-hybrid,train,,,8,,,19N1633.jpg
,,non-hybrid,train,,,8,,,CAM017405.jpg
,,non-hybrid,train,,,8,,,CAM016553.jpg
,,non-hybrid,train,,,8,,,19N0166.jpg
,,non-hybrid,train,,,8,,,19N0665.jpg
,,non-hybrid,train,,,8,,,19N2182.jpg
,,non-hybrid,train,,,8,,,CAM040024.jpg
,,non-hybrid,train,,,8,,,19N2206.jpg
,,non-hybrid,train,,,8,,,19N0870.jpg
,,non-hybrid,train,,,8,,,19N0935.jpg
,,non-hybrid,train,,,8,,,19N1590.jpg
,,non-hybrid,train,,,8,,,19N1862.jpg
,,non-hybrid,train,,,8,,,CAM017279.jpg
,,non-hybrid,train,,,8,,,19N0200.jpg
,,non-hybrid,train,,,8,,,19N0503.jpg
,,non-hybrid,train,,,8,,,CAM040130.jpg
,,non-hybrid,train,,,8,,,CS004066.jpg
,,non-hybrid,train,,,8,,,19N2248.jpg
,,non-hybrid,train,,,8,,,CAM041163.jpg
,,non-hybrid,train,,,8,,,19N0412.jpg
,,non-hybrid,train,,,8,,,19N2271.jpg
,,non-hybrid,train,,,8,,,19N0376.jpg
,,non-hybrid,train,,,8,,,CAM017115.jpg
,,non-hybrid,train,,,8,,,19N0478.jpg
,,non-hybrid,train,,,8,,,CAM016957.jpg
,,non-hybrid,train,,,8,,,19N1269.jpg
,,non-hybrid,train,,,8,,,19N0157.jpg
,,non-hybrid,train,,,8,,,CAM040170.jpg
,,non-hybrid,train,,,8,,,19N2069.jpg
,,non-hybrid,train,,,8,,,CAM041114.jpg
,,non-hybrid,train,,,8,,,CAM016576.jpg
,,non-hybrid,train,,,8,,,19N0898.jpg
,,non-hybrid,train,,,8,,,CAM040127.jpg
,,non-hybrid,train,,,8,,,19N0189.jpg
,,non-hybrid,train,,,8,,,CAM040724.jpg
,,non-hybrid,train,,,8,,,CAM041120.jpg
,,non-hybrid,train,,,8,,,19N2247.jpg
,,non-hybrid,train,,,8,,,CAM041017.jpg
,,non-hybrid,train,,,8,,,CAM040154.jpg
,,non-hybrid,train,,,8,,,CAM041522.jpg
,,non-hybrid,train,,,8,,,CAM040122.jpg
,,non-hybrid,train,,,8,,,19N0197.jpg
,,non-hybrid,train,,,8,,,19N0011.jpg
,,non-hybrid,train,,,8,,,19N2278.jpg
,,non-hybrid,train,,,8,,,19N0081.jpg
,,non-hybrid,train,,,8,,,19N0277.jpg
,,non-hybrid,train,,,8,,,19N0847.jpg
,,non-hybrid,train,,,8,,,CAM040217.jpg
,,non-hybrid,train,,,8,,,19N0213.jpg
